('深', '深')	1303260
('队', '隊')	1751843
('睡', '睡')	558136
('救', '救')	627067
('妖', '妖')	464005
('臣', '臣')	591351
('枪*', '?')	340288
('禁', '禁')	649427
('黄', '黃')	1167144
('讲', '講')	573036
('换', '換')	534606
('提', '提')	1406398
('尽*', '?')	311620
('皇', '皇')	1306645
('米', '米')	549239
('传', '傳')	1404109
('追', '追')	731680
('面', '面')	3486854
('靠', '靠')	596864
('铁', '鐵')	966878
('北', '北')	1166215
('抓', '抓')	582215
('管', '管')	1362342
('跳', '跳')	598843
('仿*', '! 仿佛')	297706
('佛*', '! 仿佛')	297706
('官', '官')	1455258
('林', '林')	2260213
('搞', '搞')	320590
('待', '待')	938347
('加', '加')	1768694
('雪', '雪')	889971
('愿', '願')	607274
('晚', '晚')	990343
('皆', '皆')	317230
('床', '床')	427090
('较', '較')	528415
('州', '州')	1035476
('恐', '恐')	700854
('唯', '唯')	308380
('空', '空')	1889631
('近', '近')	1298936
('震', '震')	613531
('射', '射')	660337
('显', '顯')	1043387
('族', '族')	802796
('服', '服')	1207858
('收', '收')	1197002
('识', '識')	969870
('注', '注')	508298
('欲*', '?')	318644
('怒', '怒')	777021
('宫', '宮')	878712
('呆*', '?')	396274
('紧', '緊')	1393028
('宝', '寶')	1056451
('沉', '沉')	1025172
('断', '斷')	1061195
('旁', '旁')	813089
('求', '求')	999915
('容', '容')	1508384
('易', '易')	1022394
('姐', '姐')	1225873
('士', '士')	1775054
('陈', '陳')	1371133
('海', '海')	1865277
('厉', '厲')	548373
('害', '害')	937936
('闪', '閃')	798341
('紫', '紫')	470234
('速', '速')	899015
('度', '度')	1535761
('雷', '雷')	872243
('狼', '狼')	400806
('诸', '諸')	479790
('南', '南')	1651064
('份', '份')	718259
('喊', '喊')	432789
('暗*', '?')	484259
('露', '露')	732538
('房', '房')	1146094
('存', '存')	644041
('刘', '劉')	1427041
('吓', '嚇')	363076
('级', '級')	755968
('圣*', '?')	260741
('群', '群')	703194
('缓', '緩')	720629
('展', '展')	789810
('了*', '! 了解')	257734
('解*', '! 了解')	257734
('武', '武')	1939877
('功', '功')	1628375
('巨', '巨')	628515
('通', '通')	1717736
('毒', '毒')	636047
('响', '響')	948756
('母', '母')	766056
('忍', '忍')	666219
('玩*', '?')	396229
('嘛', '嘛')	332468
('简', '簡')	663536
('单', '單')	913804
('虎', '虎')	697176
('逃', '逃')	609140
('木', '木')	821314
('营', '營')	639995
('仍', '仍')	664076
('药*', '?')	260813
('骂', '罵')	372028
('物', '物')	1665775
('江', '江')	1323047
('湖', '湖')	556361
('解', '解')	1405645
('释', '釋')	363425
('影', '影')	1327536
('哈', '哈')	1012843
('确', '確')	804582
('它', '它')	330082
('装', '裝')	925124
('兽', '獸')	364396
('嗯', '嗯')	255014
('哭', '哭')	415420
('按', '按')	552849
('颗', '顆')	267443
('爷', '爺')	1043295
('左', '左')	902291
('右', '右')	770271
('否', '否')	648872
('斗', '鬥')	531601
('控', '控')	390675
('制', '制')	712462
('周*', '?')	288572
('盯', '盯')	258477
('替', '替')	333097
('失', '失')	1485804
('文', '文')	2026045
('箭', '箭')	384372
('香', '香')	718600
('呵', '呵')	628409
('楼', '樓')	718762
('妈', '媽')	632347
('精', '精')	984329
('树', '樹')	558708
('宗', '宗')	707396
('背', '背')	798821
('反', '反')	1711610
('乃', '乃')	427608
('计', '計')	1151814
('划', '劃')	363189
('翻', '翻')	542346
('谈', '談')	695167
('低', '低')	914208
('耳', '耳')	620944
('船', '船')	706690
('玄', '玄')	528040
('语', '語')	1023410
('向', '向')	897073
('每', '每')	1082392
('练', '練')	621215
('势', '勢')	1290286
('选', '選')	574947
('择', '擇')	285757
('丈', '丈')	410444
('扑', '撲')	356905
('番', '番')	389045
('年', '年')	1989925
('段', '段')	820514
('务', '務')	764001
('淡', '淡')	746973
('修', '修')	1070164
('闻', '聞')	710184
('迅', '迅')	301352
('推', '推')	694761
('雨', '雨')	739050
('考', '考')	473752
('虑', '慮')	377152
('骑', '騎')	639414
('挺', '挺')	315629
('念', '念')	690152
('取', '取')	924808
('台*', '?')	259908
('层', '層')	478423
('陪', '陪')	295109
('著', '著')	346639
('梦', '夢')	564857
('流', '流')	1255125
('安', '安')	2211270
('排', '排')	580731
('脑', '腦')	855573
('袋', '袋')	387895
('狗', '狗')	344372
('廷', '廷')	340308
('贼', '賊')	333737
('甲', '甲')	485168
('刺', '刺')	658494
('伸', '伸')	549411
('忘', '忘')	454926
('瞧', '瞧')	351455
('周', '周')	574068
('围', '圍')	871223
('猛', '猛')	651466
('第', '第')	2031704
('惜', '惜')	375041
('懂', '懂')	323180
('杯*', '?')	217786
('差', '差')	783596
('恢', '恢')	225799
('复', '復')	429526
('麻', '麻')	503075
('烦', '煩')	419718
('夫', '夫')	1560623
('齐', '齊')	718514
('莫', '莫')	684173
('置', '置')	628814
('摆*', '?')	260691
('遍', '遍')	307273
('瞪', '瞪')	271473
('凤', '鳳')	505010
('挂', '掛')	312859
('化', '化')	1243352
('洞', '洞')	477705
('特', '特')	1508123
('距', '距')	310321
('屋', '屋')	491310
('银', '銀')	648840
('冰', '冰')	650173
('类', '類')	605127
('论', '論')	982060
('亮', '亮')	758540
('套', '套')	361338
('久', '久')	951141
('渐', '漸')	612439
('怀', '懷')	769833
('足', '足')	1021593
('腿*', '?')	206402
('组', '組')	547899
('织', '織')	289925
('顶', '頂')	543928
('镇', '鎮')	455532
('守', '守')	831628
('拳', '拳')	405287
('领', '領')	1204055
('研', '研')	316720
('究', '究')	581647
('照*', '?')	215454
('危', '危')	413385
('险', '險')	580373
('合', '合')	1444788
('付', '付')	491441
('代', '代')	1161359
('挥', '揮')	727315
('抢', '搶')	322204
('邪', '邪')	302626
('仔', '仔')	246355
('细', '細')	803746
('谷*', '?')	202920
('示', '示')	638982
('尽', '儘')	202937
('依', '依')	787942
('报', '報')	1132217
('躲', '躲')	313100
('杨', '楊')	1193364
('首', '首')	905220
('苦', '苦')	1017405
('概', '概')	290220
('赵', '趙')	956682
('下*', '! 下面')	193452
