𨀁	躘
跹	躚
𨅬	躝
蹑	躡
蹿	躥
躜	躦
躯	軀
车	車
轧	軋
轨	軌
军	軍
𫐄	軏
轩	軒
轫	軔
轭	軛
𬨂	軝
软	軟
轷	軤
轸	軫
轱	軲
轴	軸
轵	軹
轺	軺
轲	軻
轼	軾
较	較
辂	輅
辁	輇
辀	輈
载	載
轾	輊
辄	輒
辅	輔
轻	輕
𫐐	輗
辆	輛
辎	輜
辉	輝
辋	輞
辍	輟
辊	輥
辇	輦
辈	輩
轮	輪
辌	輬
𫐓	輮
辑	輯
辏	輳
𬨎	輶
输	輸
辐	輻
舆	輿
辒	轀
毂	轂
辖	轄
辕	轅
辘	轆
转	轉
辙	轍
轿	轎
辚	轔
轰	轟
辔	轡
轹	轢
轳	轤
办	辦
辫	辮
辩	辯
农	農
这	這
连	連
进	進
运	運
过	過
达	達
违	違
遥	遙
逊	遜
递	遞
远	遠
迟	遲
迁	遷
选	選
遗	遺
辽	遼
迈	邁
还	還
迩	邇
边	邊
逻	邏
逦	邐
郏	郟
邮	郵
郓	鄆
乡	鄉
邹	鄒
邬	鄔
郧	鄖
邓	鄧
𬩽	鄩
郑	鄭
邻	鄰
邺	鄴
郐	鄶
邝	鄺
酂	酇
郦	酈
腌	醃
酝	醞
医	醫
酱	醬
酦	醱
𬪩	醲
酿	釀
衅	釁
酾	釃
酽	釅
释	釋
厘	釐
钆	釓
钇	釔
钌	釕
钊	釗
钉	釘
钋	釙
针	針
钓	釣
钐	釤
钏	釧
钒	釩
𨰿	釳
钗	釵
钍	釷
钕	釹
钎	釺
钯	鈀
钫	鈁
钘	鈃
钭	鈄
𫓧	鈇
钚	鈈
钠	鈉
钝	鈍
钤	鈐
钣	鈑
钑	鈒
钮	鈕
钧	鈞
钙	鈣
钬	鈥
钛	鈦
钪	鈧
铌	鈮
铈	鈰
钶	鈳
铃	鈴
钹	鈸
铍	鈹
钰	鈺
钸	鈽
铀	鈾
钿	鈿
钾	鉀
铊	鉈
铉	鉉
𬬿	鉊
铋	鉍
铂	鉑
钷	鉕
钳	鉗
铆	鉚
铅	鉛
𫟷	鉝
钺	鉞
钩	鉤
𬬸	鉥
钲	鉦
鿭	鉨
钼	鉬
钽	鉭
铰	鉸
铒	鉺
铬	鉻
铪	鉿
银	銀
铳	銃
铜	銅
铚	銍
铣	銑
铨	銓
铢	銖
铭	銘
铫	銚
铦	銛
衔	銜
铑	銠
铷	銣
铱	銥
铟	銦
铵	銨
铥	銩
铕	銪
铯	銫
铐	銬
铞	銱
锐	銳
𨱇	銶
销	銷
锑	銻
锉	銼
铝	鋁
锒	鋃
锌	鋅
钡	鋇
铤	鋌
铗	鋏
𬭎	鋐
锋	鋒
铻	鋙
锊	鋝
锓	鋟
锄	鋤
锃	鋥
锔	鋦
锇	鋨
铓	鋩
铺	鋪
铖	鋮
锆	鋯
锂	鋰
铽	鋱
锯	鋸
𬬮	鋹
钢	鋼
𬬭	錀
锞	錁
锖	錆
锫	錇
锩	錈
铔	錏
锥	錐
锕	錒
锟	錕
锤	錘
锱	錙
铮	錚
锛	錛
𬭚	錞
锬	錟
锭	錠
锜	錡
钱	錢
𫓹	錤
锦	錦
锚	錨
锠	錩
锡	錫
锢	錮
错	錯
锰	錳
铼	錸
锝	鍀
锨	鍁
锪	鍃
钔	鍆
锴	鍇
锳	鍈
锅	鍋
镀	鍍
锷	鍔
铡	鍘
钖	鍚
锻	鍛
锽	鍠
锸	鍤
锲	鍥
锘	鍩
锹	鍬
𬭤	鍭
锾	鍰
键	鍵
锶	鍶
锗	鍺
镁	鎂
锿	鎄
镅	鎇
镑	鎊
𬭩	鎓
锁	鎖
镉	鎘
镈	鎛
𨱏	鎝
镃	鎡
钨	鎢
蓥	鎣
镏	鎦
铠	鎧
铩	鎩
锼	鎪
镐	鎬
镇	鎮
𨱍	鎯
镒	鎰
镍	鎳
镓	鎵
鿔	鎶
镎	鎿
镞	鏃
镟	鏇
链	鏈
镠	鏐
镝	鏑
铿	鏗
锵	鏘
镗	鏜
镘	鏝
镛	鏞
镜	鏡
镖	鏢
镂	鏤
錾	鏨
镚	鏰
铧	鏵
镤	鏷
镪	鏹
𬭸	鏻
锈	鏽
铙	鐃
𨱑	鐄
𫔍	鐇
𨱔	鐏
镣	鐐
铹	鐒
镦	鐓
镡	鐔
镫	鐙
镢	鐝
镨	鐠
锎	鐦
锏	鐧
镄	鐨
𬭼	鐩
镌	鐫
镰	鐮
镯	鐲
镭	鐳
铁	鐵
镮	鐶
铎	鐸
铛	鐺
𫟼	鐽
镱	鐿
铸	鑄
镬	鑊
镔	鑌
鉴	鑑
镲	鑔
锧	鑕
镴	鑞
铄	鑠
镥	鑥
𬬻	鑪
镧	鑭
钥	鑰
镵	鑱
镶	鑲
镊	鑷
镩	鑹
锣	鑼
钻	鑽
銮	鑾
凿	鑿
镋	钂
长	長
门	門
闩	閂
闪	閃
闫	閆
闬	閈
闭	閉
开	開
闳	閎
闰	閏
闲	閒
间	間
闵	閔
闸	閘
阂	閡
阁	閣
阀	閥
闺	閨
闽	閩
阃	閫
阆	閬
闾	閭
阅	閱
阊	閶
阉	閹
阎	閻
阏	閼
阍	閽
阈	閾
阌	閿
阒	闃
闱	闈
𬮱	闉
阔	闊
阕	闋
阑	闌
阇	闍
阗	闐
𫔶	闑
阘	闒
闿	闓
阖	闔
阙	闕
闯	闖
关	關
阚	闞
阓	闠
阐	闡
辟	闢
阛	闤
闼	闥
陉	陘
陕	陝
阵	陣
阴	陰
陈	陳
陆	陸
阳	陽
陧	隉
队	隊
阶	階
际	際
随	隨
险	險
𬯀	隮
隐	隱
陇	隴
隶	隸
隽	雋
虽	雖
双	雙
雏	雛
杂	雜
鸡	雞
难	難
电	電
雾	霧
霁	霽
霭	靄
叇	靆
灵	靈
叆	靉
靓	靚
静	靜
靥	靨
巩	鞏
鞒	鞽
𩉜	鞿
缰	韁
鞑	韃
鞯	韉
韦	韋
韧	韌
韨	韍
韩	韓
韪	韙
韬	韜
韫	韞
韵	韻
响	響
页	頁
顶	頂
顷	頃
项	項
顺	順
顸	頇
顼	頊
颂	頌
𫠆	頍
颀	頎
颃	頏
预	預
顽	頑
颁	頒
顿	頓
𬱖	頔
颇	頗
领	領
颌	頜
𬱟	頠
颉	頡
颐	頤
颏	頦
头	頭
颊	頰
颋	頲
颔	頷
颈	頸
颓	頹
频	頻
颗	顆
题	題
额	額
颚	顎
颜	顏
颙	顒
颛	顓
𫖮	顗
愿	願
颡	顙
颠	顛
类	類
颟	顢
颢	顥
顾	顧
颤	顫
颥	顬
显	顯
颦	顰
颅	顱
颞	顳
颧	顴
风	風
飐	颭
飑	颮
飒	颯
飔	颸
飖	颻
飕	颼
𩙫	颾
飗	飀
飘	飄
飙	飆
飞	飛
饣	飠
饥	飢
饤	飣
饪	飪
饫	飫
饬	飭
饭	飯
饮	飲
饴	飴
饲	飼
饱	飽
饰	飾
饺	餃
饼	餅
饷	餉
养	養
饵	餌
饽	餑
馁	餒
饿	餓
馂	餕
饾	餖
𫗧	餗
馀	餘
馃	餜
饯	餞
馅	餡
馆	館
糇	餱
饧	餳
馇	餷
𩠌	餸
饩	餼
馏	餾
馊	餿
馌	饁
馍	饃
馐	饈
馑	饉
馈	饋
馔	饌
饶	饒
飨	饗
𫗴	饘
餍	饜
馋	饞
馕	饢
马	馬
冯	馮
驮	馱
驰	馳
驯	馴
驲	馹
驳	駁
𬳶	駉
驻	駐
驽	駑
驹	駒
𬳵	駓
驵	駔
驾	駕
骀	駘
驸	駙
驶	駛
驼	駝
驷	駟
骈	駢
𬳽	駪
骇	駭
骃	駰
骆	駱
骎	駸
骏	駿
骋	騁
骍	騂
𫘧	騄
骓	騅
骒	騍
骑	騎
骐	騏
骛	騖
骗	騙
骙	騤
䯄	騧
骞	騫
骘	騭
骝	騮
腾	騰
𫘬	騱
𫘪	騵
驺	騶
骟	騸
骡	騾
蓦	驀
骜	驁
骖	驂
骠	驃
骢	驄
驱	驅
骅	驊
骁	驍
𬴊	驎
骣	驏
骄	驕
验	驗
惊	驚
驿	驛
骤	驟
驴	驢
骧	驤
骥	驥
骊	驪
骉	驫
髇	髐
体	體
髌	髕
髋	髖
鬓	鬢
闹	鬧
